"Name","Live Bytes","Live Objects"
"java.util.ServiceLoader$ModuleServicesLookupIterator","288 B (0%)","9 (0%)"
"java.util.RegularEnumSet","288 B (0%)","9 (0%)"
"java.io.ByteArrayInputStream","288 B (0%)","9 (0%)"
"java.io.BufferedReader","288 B (0%)","6 (0%)"
"java.util.logging.Level$KnownLevel","288 B (0%)","9 (0%)"
"java.util.ResourceBundle$CacheKey","288 B (0%)","4 (0%)"
"java.util.zip.ZipFile$ZipFileInputStream","288 B (0%)","6 (0%)"
"javax.management.MBeanNotificationInfo","288 B (0%)","9 (0%)"
"java.util.logging.Level","288 B (0%)","9 (0%)"
"jdk.internal.logger.LazyLoggers$LazyLoggerAccessor","288 B (0%)","9 (0%)"
"java.util.concurrent.ConcurrentHashMap$KeyIterator","280 B (0%)","5 (0%)"
"java.util.stream.StreamOpFlag[]","280 B (0%)","7 (0%)"
"java.lang.ClassLoader$NativeLibrary","280 B (0%)","7 (0%)"
"sun.nio.cs.UTF_8$Decoder","280 B (0%)","7 (0%)"
"java.util.stream.StreamOpFlag$Type[]","280 B (0%)","7 (0%)"
"sun.util.locale.InternalLocaleBuilder","280 B (0%)","7 (0%)"
"sun.invoke.util.ValueConversions$WrapperCache","272 B (0%)","17 (0%)"
"java.lang.String[][]","264 B (0%)","3 (0%)"
"java.lang.module.ResolvedModule[]","264 B (0%)","1 (0%)"
"java.lang.invoke.MethodHandleImpl$Intrinsic","264 B (0%)","11 (0%)"
"java.util.ArrayList$ArrayListSpliterator","256 B (0%)","8 (0%)"
"java.util.Spliterators$ArraySpliterator","256 B (0%)","8 (0%)"
"java.util.logging.LogManager$LoggerContext$1","256 B (0%)","8 (0%)"
"java.util.ImmutableCollections$MapN","256 B (0%)","8 (0%)"
"java.util.ResourceBundle$KeyElementReference","256 B (0%)","8 (0%)"
"java.util.HashMap$Values","256 B (0%)","16 (0%)"
"java.lang.reflect.ProxyGenerator$PrimitiveTypeInfo","256 B (0%)","8 (0%)"
"java.lang.invoke.StringConcatFactory$Recipe","240 B (0%)","15 (0%)"
"java.util.ArrayDeque","240 B (0%)","10 (0%)"
"java.nio.file.StandardOpenOption","240 B (0%)","10 (0%)"
"jdk.internal.reflect.NativeMethodAccessorImpl","240 B (0%)","10 (0%)"
"java.util.regex.Pattern$CharPropertyGreedy","240 B (0%)","10 (0%)"
"java.lang.ThreadLocal$ThreadLocalMap$Entry[]","240 B (0%)","3 (0%)"
"java.util.AbstractMap$SimpleImmutableEntry","240 B (0%)","10 (0%)"
"java.util.IdentityHashMap","240 B (0%)","6 (0%)"
"java.nio.charset.CoderResult","240 B (0%)","10 (0%)"
"java.util.regex.Pattern$CharProperty","240 B (0%)","10 (0%)"
"sun.util.resources.Bundles$BundleReference","240 B (0%)","5 (0%)"
"java.util.ArrayDeque$DeqIterator","224 B (0%)","7 (0%)"
"java.util.Collections$UnmodifiableMap","224 B (0%)","7 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLLLLLL","224 B (0%)","4 (0%)"
"java.util.concurrent.ConcurrentHashMap$EntryIterator","224 B (0%)","4 (0%)"
"java.util.ServiceLoader$ProviderImpl","224 B (0%)","7 (0%)"
"sun.nio.ch.FileChannelImpl","216 B (0%)","3 (0%)"
"java.util.regex.Pattern$BitClass","216 B (0%)","9 (0%)"
"java.lang.Long","216 B (0%)","9 (0%)"
"sun.util.logging.PlatformLogger$Level","216 B (0%)","9 (0%)"
"java.util.ServiceLoader$2","216 B (0%)","9 (0%)"
"sun.security.provider.NativePRNG$RandomIO","216 B (0%)","3 (0%)"
"jdk.internal.logger.DefaultLoggerFinder$1","208 B (0%)","13 (0%)"
"java.security.ProtectionDomain$Key","208 B (0%)","13 (0%)"
"sun.net.www.protocol.file.FileURLConnection","208 B (0%)","2 (0%)"
"java.lang.ThreadLocal","208 B (0%)","13 (0%)"
"com.sun.jmx.mbeanserver.PerInterface$InitMaps","208 B (0%)","13 (0%)"
"java.security.Principal[]","208 B (0%)","13 (0%)"
"sun.util.locale.StringTokenIterator","200 B (0%)","5 (0%)"
"java.time.ZoneOffset[]","200 B (0%)","2 (0%)"
"java.lang.invoke.DirectMethodHandle$Interface","200 B (0%)","5 (0%)"
"java.util.EnumMap","200 B (0%)","5 (0%)"
"java.util.stream.StreamOpFlag","200 B (0%)","5 (0%)"
"sun.nio.fs.UnixFileAttributeViews$Basic","192 B (0%)","8 (0%)"
"java.util.Enumeration[]","192 B (0%)","8 (0%)"
"sun.nio.cs.UTF_8$Encoder","192 B (0%)","4 (0%)"
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CollectionMapping","192 B (0%)","6 (0%)"
"java.lang.Class$1","192 B (0%)","8 (0%)"
"java.net.SocksSocketImpl","192 B (0%)","2 (0%)"
"java.net.NetPermission","192 B (0%)","8 (0%)"
"java.lang.CompoundEnumeration","192 B (0%)","8 (0%)"
"java.util.concurrent.atomic.AtomicLong","192 B (0%)","8 (0%)"
"jdk.internal.perf.PerfCounter","192 B (0%)","8 (0%)"
"java.lang.invoke.LambdaForm$BasicType","192 B (0%)","6 (0%)"
"java.util.ServiceLoader$3","192 B (0%)","8 (0%)"
"java.util.jar.JarFile","192 B (0%)","3 (0%)"
"java.lang.ClassLoader$2","176 B (0%)","11 (0%)"
"java.math.BigInteger[][]","168 B (0%)","1 (0%)"
"java.lang.System$Logger$Level","168 B (0%)","7 (0%)"
"java.security.Permission[]","168 B (0%)","7 (0%)"
"javax.management.openmbean.OpenMBeanOperationInfoSupport","168 B (0%)","3 (0%)"
"java.util.logging.Logger","168 B (0%)","3 (0%)"
"java.security.ProtectionDomain[]","168 B (0%)","7 (0%)"
"sun.reflect.generics.scope.ClassScope","168 B (0%)","7 (0%)"
"java.time.ZoneOffset","168 B (0%)","7 (0%)"
"java.io.InputStreamReader","168 B (0%)","7 (0%)"
"java.lang.invoke.VarForm","168 B (0%)","7 (0%)"
"java.lang.ProcessImpl$LaunchMechanism[]","168 B (0%)","6 (0%)"
"java.util.ServiceLoader$1","168 B (0%)","7 (0%)"
"java.lang.StringBuffer","160 B (0%)","5 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLIILL","160 B (0%)","2 (0%)"
"java.security.Permissions","160 B (0%)","5 (0%)"
"java.util.logging.Logger$ConfigurationData","160 B (0%)","4 (0%)"
"java.lang.invoke.DirectMethodHandle$Constructor","160 B (0%)","4 (0%)"
"jdk.internal.reflect.DelegatingMethodAccessorImpl","160 B (0%)","10 (0%)"
"sun.util.locale.provider.LocaleProviderAdapter$Type","160 B (0%)","5 (0%)"
"sun.util.locale.provider.LocaleResources","160 B (0%)","5 (0%)"
"java.lang.invoke.VarHandle$AccessType","160 B (0%)","5 (0%)"
"java.io.BufferedInputStream","160 B (0%)","4 (0%)"
"java.io.DataInputStream","160 B (0%)","5 (0%)"
"java.util.HashMap$EntrySpliterator","160 B (0%)","4 (0%)"
"java.lang.ClassValue$Entry","160 B (0%)","5 (0%)"
"java.io.ObjectOutputStream$HandleTable","160 B (0%)","4 (0%)"
"java.io.FileOutputStream","160 B (0%)","4 (0%)"
"java.lang.invoke.LambdaFormEditor$Transform[]","160 B (0%)","5 (0%)"
"java.lang.invoke.LambdaForm$BasicType[]","160 B (0%)","4 (0%)"
"javax.management.StandardEmitterMBean","160 B (0%)","5 (0%)"
"java.util.logging.Level[]","160 B (0%)","3 (0%)"
"sun.util.resources.LocaleData$1","144 B (0%)","6 (0%)"
"java.lang.invoke.StringConcatFactory$Strategy","144 B (0%)","6 (0%)"
"java.util.regex.Pattern$BitClass$$Lambda$35.0x0000000100084c40","144 B (0%)","9 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLLLLLLIIL","144 B (0%)","2 (0%)"
"java.util.Collections$SetFromMap","144 B (0%)","6 (0%)"
"java.util.zip.ZipFile$Source","144 B (0%)","2 (0%)"
"java.util.ResourceBundle$BundleReference","144 B (0%)","3 (0%)"
"jdk.internal.loader.URLClassPath$JarLoader","144 B (0%)","3 (0%)"
"java.lang.Thread$State","144 B (0%)","6 (0%)"
"java.nio.file.LinkOption[]","144 B (0%)","9 (0%)"
"sun.util.locale.provider.LocaleResources$ResourceReference","144 B (0%)","3 (0%)"
"jdk.internal.reflect.MethodAccessorGenerator","144 B (0%)","1 (0%)"
"sun.nio.cs.StreamEncoder","144 B (0%)","3 (0%)"
"java.lang.ThreadGroup","144 B (0%)","3 (0%)"
"jdk.internal.logger.LazyLoggers$JdkLazyLogger","144 B (0%)","9 (0%)"
"java.util.regex.Pattern$$Lambda$36.0x0000000100084040","144 B (0%)","9 (0%)"
"sun.invoke.util.ValueConversions$WrapperCache[]","136 B (0%)","4 (0%)"
"java.time.temporal.ChronoField[]","136 B (0%)","1 (0%)"
"java.util.logging.LogManager$4","128 B (0%)","4 (0%)"
"jdk.internal.reflect.ClassFileAssembler","128 B (0%)","4 (0%)"
"java.lang.ClassValue$ClassValueMap","128 B (0%)","2 (0%)"
"java.lang.ProcessImpl$Platform","128 B (0%)","4 (0%)"
"java.util.PropertyPermission","128 B (0%)","4 (0%)"
"sun.nio.fs.UnixFileAttributes$UnixAsBasicFileAttributes","128 B (0%)","8 (0%)"
"java.io.ExpiringCache$1","128 B (0%)","2 (0%)"
"java.lang.invoke.MethodHandleImpl$Intrinsic[]","128 B (0%)","2 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLLLLLLL","128 B (0%)","2 (0%)"
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$ArrayMapping","128 B (0%)","4 (0%)"
"jdk.internal.loader.ClassLoaders$AppClassLoader","120 B (0%)","1 (0%)"
"java.util.stream.StreamOpFlag$Type","120 B (0%)","5 (0%)"
"jdk.internal.jimage.ImageLocation","120 B (0%)","5 (0%)"
"java.security.Permissions$1","120 B (0%)","5 (0%)"
"java.lang.Class$3","120 B (0%)","5 (0%)"
"java.io.FilePermission","120 B (0%)","3 (0%)"
"jdk.internal.math.FloatingDecimal$PreparedASCIIToBinaryBuffer","120 B (0%)","5 (0%)"
"java.io.BufferedWriter","120 B (0%)","3 (0%)"
"java.util.IdentityHashMap$KeyIterator","120 B (0%)","3 (0%)"
"sun.util.locale.ParseStatus","120 B (0%)","5 (0%)"
"jdk.internal.loader.URLClassPath","120 B (0%)","3 (0%)"
"jdk.net.ExtendedSocketOptions$ExtSocketOption","120 B (0%)","5 (0%)"
"java.util.Properties$LineReader","120 B (0%)","3 (0%)"
"java.util.regex.Pattern$CharPredicate$$Lambda$60.0x0000000100110440","112 B (0%)","7 (0%)"
"java.nio.DirectIntBufferRU","112 B (0%)","2 (0%)"
"java.io.ObjectOutputStream","112 B (0%)","2 (0%)"
"jdk.internal.loader.ClassLoaders$BootClassLoader","112 B (0%)","1 (0%)"
"jdk.internal.loader.ClassLoaders$PlatformClassLoader","112 B (0%)","1 (0%)"
"float[]","112 B (0%)","4 (0%)"
"java.time.LocalTime[]","112 B (0%)","1 (0%)"
"java.io.FileInputStream$1","112 B (0%)","7 (0%)"
"sun.util.logging.PlatformLogger$Level[]","104 B (0%)","2 (0%)"
"sun.security.provider.Sun","104 B (0%)","1 (0%)"
"java.net.URLClassLoader","104 B (0%)","1 (0%)"
"sun.security.jca.ProviderList$1","104 B (0%)","1 (0%)"
"sun.net.www.protocol.jar.URLJarFile$URLJarFileEntry","104 B (0%)","1 (0%)"
"java.lang.Runtime$Version","96 B (0%)","3 (0%)"
"java.lang.reflect.ProxyGenerator","96 B (0%)","2 (0%)"
"java.net.URI$Parser","96 B (0%)","3 (0%)"
"sun.util.calendar.Gregorian$Date","96 B (0%)","1 (0%)"
"jdk.internal.loader.URLClassPath$3","96 B (0%)","4 (0%)"
"java.util.zip.ZipFile$CleanableResource","96 B (0%)","3 (0%)"
"java.util.zip.ZipFile$Source$Key","96 B (0%)","4 (0%)"
"java.util.Spliterators$1Adapter","96 B (0%)","4 (0%)"
"java.io.BufferedOutputStream","96 B (0%)","3 (0%)"
"java.lang.module.ModuleDescriptor$Modifier","96 B (0%)","4 (0%)"
"javax.management.openmbean.TabularType","96 B (0%)","2 (0%)"
"java.util.Collections$SynchronizedSet","96 B (0%)","4 (0%)"
"jdk.internal.logger.BootstrapLogger$LoggingBackend","96 B (0%)","4 (0%)"
"sun.nio.fs.UnixFileKey","96 B (0%)","3 (0%)"
"java.util.concurrent.atomic.AtomicInteger","96 B (0%)","6 (0%)"
"sun.reflect.generics.repository.ClassRepository","96 B (0%)","3 (0%)"
"java.security.SecureClassLoader$1","96 B (0%)","4 (0%)"
"java.util.ResourceBundle$Control$1","96 B (0%)","3 (0%)"
"java.util.jar.JarVerifier","96 B (0%)","1 (0%)"
"com.sun.management.internal.GarbageCollectorExtImpl","96 B (0%)","2 (0%)"
"java.io.RandomAccessFile","96 B (0%)","3 (0%)"
"java.util.stream.Collectors$$Lambda$47.0x0000000100081440","96 B (0%)","4 (0%)"
"java.net.InetAddress$InetAddressHolder","96 B (0%)","3 (0%)"
"java.util.Collections$3","96 B (0%)","4 (0%)"
"java.lang.System$Logger$Level[]","96 B (0%)","2 (0%)"
"java.util.stream.StreamShape","96 B (0%)","4 (0%)"
"jdk.internal.loader.ClassLoaderValue","96 B (0%)","6 (0%)"
"java.util.StringTokenizer","96 B (0%)","2 (0%)"
"java.util.concurrent.locks.ReentrantReadWriteLock$FairSync","96 B (0%)","2 (0%)"
"sun.reflect.generics.reflectiveObjects.TypeVariableImpl","96 B (0%)","3 (0%)"
"java.lang.ProcessHandleImpl","96 B (0%)","2 (0%)"
"jdk.internal.reflect.ByteVectorImpl","96 B (0%)","4 (0%)"
"java.util.stream.ReduceOps$2","96 B (0%)","4 (0%)"
"java.lang.invoke.VarHandle$AccessDescriptor","96 B (0%)","3 (0%)"
"java.lang.NamedPackage","96 B (0%)","4 (0%)"
"jdk.internal.loader.AbstractClassLoaderValue$Sub","96 B (0%)","4 (0%)"
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$EnumMapping","96 B (0%)","3 (0%)"
"java.lang.module.ModuleDescriptor$Opens","96 B (0%)","4 (0%)"
"java.lang.module.ModuleDescriptor$Requires$Modifier","96 B (0%)","4 (0%)"
"javax.management.MBeanConstructorInfo","96 B (0%)","3 (0%)"
"sun.reflect.misc.MethodUtil","96 B (0%)","1 (0%)"
"java.net.SocketCleanable","96 B (0%)","2 (0%)"
"jdk.internal.jimage.ImageReader$SharedImageReader","96 B (0%)","1 (0%)"
"java.util.stream.ReduceOps$2ReducingSink","96 B (0%)","4 (0%)"
"java.lang.invoke.VarHandleInts$FieldInstanceReadWrite","96 B (0%)","3 (0%)"
"jdk.internal.reflect.DelegatingClassLoader","88 B (0%)","1 (0%)"
"sun.net.www.protocol.jar.JarURLConnection","88 B (0%)","1 (0%)"
"sun.security.action.GetBooleanAction","80 B (0%)","5 (0%)"
"jdk.internal.ref.Cleaner","80 B (0%)","2 (0%)"
"sun.management.MemoryManagerImpl","80 B (0%)","2 (0%)"
"sun.security.jca.ProviderConfig[]","80 B (0%)","2 (0%)"
"java.io.PrintStream","80 B (0%)","2 (0%)"
"jdk.internal.math.FloatingDecimal$BinaryToASCIIBuffer","80 B (0%)","2 (0%)"
"java.time.temporal.ChronoUnit[]","80 B (0%)","1 (0%)"
"java.lang.module.Configuration","80 B (0%)","2 (0%)"
"com.sun.jmx.mbeanserver.GetPropertyAction","80 B (0%)","5 (0%)"
"java.util.WeakHashMap$KeySet","80 B (0%)","5 (0%)"
"java.io.ObjectOutputStream$BlockDataOutputStream","80 B (0%)","2 (0%)"
"sun.util.locale.provider.LocaleProviderAdapter$NonExistentAdapter","80 B (0%)","1 (0%)"
"java.lang.Process$PipeInputStream","80 B (0%)","2 (0%)"
"java.util.stream.StreamOpFlag$MaskBuilder","80 B (0%)","5 (0%)"
"sun.util.cldr.CLDRLocaleProviderAdapter","80 B (0%)","1 (0%)"
"java.lang.VirtualMachineError","80 B (0%)","2 (0%)"
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$TabularMapping","80 B (0%)","2 (0%)"
"sun.net.www.protocol.jar.URLJarFile","80 B (0%)","1 (0%)"
"java.lang.ModuleLayer","80 B (0%)","2 (0%)"
"java.util.Locale$Category","80 B (0%)","2 (0%)"
"int[][]","80 B (0%)","2 (0%)"
"java.util.LinkedHashMap$LinkedKeySet","80 B (0%)","5 (0%)"
"sun.util.locale.provider.JRELocaleProviderAdapter","80 B (0%)","1 (0%)"
"java.lang.invoke.StringConcatFactory$Strategy[]","80 B (0%)","2 (0%)"
"sun.util.locale.provider.LocaleProviderAdapter$Type[]","80 B (0%)","2 (0%)"
"java.lang.ProcessImpl$ProcessPipeInputStream","80 B (0%)","2 (0%)"
"jdk.internal.loader.AbstractClassLoaderValue$Memoizer","80 B (0%)","2 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLLIILL","80 B (0%)","1 (0%)"
"java.util.zip.ZipFile$Source$End","80 B (0%)","2 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLLIIL","80 B (0%)","1 (0%)"
"java.io.ExpiringCache","80 B (0%)","2 (0%)"
"java.lang.ThreadLocal$ThreadLocalMap","72 B (0%)","3 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLLII","72 B (0%)","1 (0%)"
"sun.nio.fs.UnixChannelFactory$Flags","72 B (0%)","3 (0%)"
"sun.reflect.generics.tree.ClassSignature","72 B (0%)","3 (0%)"
"java.io.OutputStreamWriter","72 B (0%)","3 (0%)"
"java.lang.annotation.RetentionPolicy","72 B (0%)","3 (0%)"
"java.security.SecureRandom","72 B (0%)","1 (0%)"
"java.util.stream.Collector$Characteristics","72 B (0%)","3 (0%)"
"java.util.regex.Pattern$GroupHead","72 B (0%)","3 (0%)"
"jdk.internal.jimage.BasicImageReader$1","72 B (0%)","3 (0%)"
"java.util.LinkedList$Node","72 B (0%)","3 (0%)"
"javax.management.openmbean.SimpleType[]","72 B (0%)","1 (0%)"
"jdk.internal.math.FloatingDecimal$ExceptionalBinaryToASCIIBuffer","72 B (0%)","3 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLLI","72 B (0%)","1 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLIIL","72 B (0%)","1 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLII","72 B (0%)","1 (0%)"
"java.lang.WeakPairMap","72 B (0%)","3 (0%)"
"sun.nio.ch.NativeThreadSet","72 B (0%)","3 (0%)"
"jdk.internal.misc.Signal","72 B (0%)","3 (0%)"
"jdk.internal.loader.FileURLMapper","72 B (0%)","3 (0%)"
"java.security.SecurityPermission","72 B (0%)","3 (0%)"
"sun.net.www.MessageHeader","72 B (0%)","3 (0%)"
"jdk.internal.module.IllegalAccessLogger$Mode","72 B (0%)","3 (0%)"
"java.util.regex.Pattern$GroupTail","72 B (0%)","3 (0%)"
"java.util.concurrent.ThreadPoolExecutor","72 B (0%)","1 (0%)"
"sun.net.www.protocol.jrt.JavaRuntimeURLConnection","72 B (0%)","1 (0%)"
"java.net.URLClassLoader$1","72 B (0%)","3 (0%)"
"java.util.concurrent.ConcurrentHashMap$KeySetView","72 B (0%)","3 (0%)"
"sun.security.provider.NativePRNG$Variant","72 B (0%)","3 (0%)"
"java.lang.invoke.StringConcatFactory$Mode","72 B (0%)","3 (0%)"
"sun.reflect.generics.tree.FormalTypeParameter","72 B (0%)","3 (0%)"
"java.lang.Runnable[]","72 B (0%)","2 (0%)"
"java.lang.ProcessImpl$LaunchMechanism","72 B (0%)","3 (0%)"
"javax.management.openmbean.OpenMBeanParameterInfo[]","72 B (0%)","3 (0%)"
"java.util.stream.FindOps$FindOp","64 B (0%)","2 (0%)"
"jdk.internal.reflect.ReflectionFactory$GetReflectionFactoryAction","64 B (0%)","4 (0%)"
"sun.nio.ch.ChannelInputStream","64 B (0%)","2 (0%)"
"java.util.stream.Collector$Characteristics[]","64 B (0%)","2 (0%)"
"java.util.Properties$EntrySet","64 B (0%)","4 (0%)"
"sun.management.spi.PlatformMBeanProvider$PlatformComponent$$Lambda$53.0x00000001000d0c40","64 B (0%)","4 (0%)"
"java.util.concurrent.ConcurrentHashMap$ValuesView","64 B (0%)","4 (0%)"
"jdk.internal.math.FloatingDecimal$ASCIIToBinaryBuffer","64 B (0%)","2 (0%)"
"java.nio.charset.CoderResult[]","64 B (0%)","2 (0%)"
"java.lang.annotation.RetentionPolicy[]","64 B (0%)","2 (0%)"
"java.security.SecureClassLoader$CodeSourceKey","64 B (0%)","4 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLLLLLLII","64 B (0%)","1 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLL","64 B (0%)","1 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLI","64 B (0%)","1 (0%)"
"sun.security.provider.NativePRNG$Variant[]","64 B (0%)","2 (0%)"
"java.lang.ref.PhantomReference","64 B (0%)","2 (0%)"
"sun.reflect.annotation.AnnotationType","64 B (0%)","2 (0%)"
"java.lang.management.ManagementFactory$PlatformMBeanFinder$$Lambda$52.0x00000001000d0840","64 B (0%)","4 (0%)"
"com.sun.jmx.mbeanserver.ClassLoaderRepositorySupport$LoaderEntry[]","64 B (0%)","3 (0%)"
"java.util.stream.Collectors$$Lambda$48.0x0000000100080840","64 B (0%)","4 (0%)"
"java.lang.ref.ReferenceQueue$Null","64 B (0%)","2 (0%)"
"sun.nio.ch.FileDispatcherImpl","64 B (0%)","4 (0%)"
"java.lang.ProcessImpl$Platform[]","64 B (0%)","2 (0%)"
"java.util.LinkedHashSet","64 B (0%)","4 (0%)"
"java.util.logging.LogManager$RootLogger","64 B (0%)","1 (0%)"
"java.security.BasicPermissionCollection","64 B (0%)","2 (0%)"
"java.util.concurrent.ConcurrentHashMap$EntrySetView","64 B (0%)","4 (0%)"
"sun.management.spi.PlatformMBeanProvider$PlatformComponent$$Lambda$54.0x00000001000d7840","64 B (0%)","4 (0%)"
"java.lang.invoke.StringConcatFactory$Mode[]","64 B (0%)","2 (0%)"
"java.util.concurrent.locks.ReentrantLock$NonfairSync","64 B (0%)","2 (0%)"
"java.lang.management.ManagementFactory$PlatformMBeanFinder$$Lambda$51.0x00000001000d0440","64 B (0%)","4 (0%)"
"java.nio.file.attribute.FileAttribute[]","64 B (0%)","4 (0%)"
"sun.security.provider.FileInputStreamPool$StreamRef","64 B (0%)","2 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLLLLLLI","64 B (0%)","1 (0%)"
"java.util.zip.Deflater","64 B (0%)","1 (0%)"
"java.nio.file.Path[]","64 B (0%)","3 (0%)"
"sun.security.util.LazyCodeSourcePermissionCollection","64 B (0%)","2 (0%)"
"java.util.ResourceBundle$ResourceBundleProviderHelper$$Lambda$30.0x0000000100086440","64 B (0%)","4 (0%)"
"java.net.SocketInputStream","56 B (0%)","1 (0%)"
"java.io.ObjectInputStream$HandleTable$HandleList[]","56 B (0%)","1 (0%)"
"sun.security.provider.SHA","56 B (0%)","1 (0%)"
"jdk.internal.ref.CleanerImpl$SoftCleanableRef","56 B (0%)","1 (0%)"
"sun.util.PropertyResourceBundleCharset$PropertiesFileDecoder","56 B (0%)","1 (0%)"
"sun.reflect.generics.tree.ClassTypeSignature[]","56 B (0%)","3 (0%)"
"java.net.SocketPermission","56 B (0%)","1 (0%)"
"java.io.ObjectInputStream","56 B (0%)","1 (0%)"
"java.io.ObjectInputStream$BlockDataInputStream","56 B (0%)","1 (0%)"
"java.net.SocketOutputStream","56 B (0%)","1 (0%)"
"java.text.Format[]","56 B (0%)","1 (0%)"
"java.nio.DirectIntBufferU","56 B (0%)","1 (0%)"
"java.nio.file.StandardOpenOption[]","56 B (0%)","1 (0%)"
"java.util.logging.LogManager","56 B (0%)","1 (0%)"
"java.lang.invoke.BoundMethodHandle$Specializer","56 B (0%)","1 (0%)"
"java.lang.invoke.BoundMethodHandle$Specializer$Factory","48 B (0%)","1 (0%)"
"com.sun.jmx.mbeanserver.MBeanIntrospector$MBeanInfoMap","48 B (0%)","1 (0%)"
"java.util.ResourceBundle$$Lambda$25.0x0000000100087840","48 B (0%)","3 (0%)"
"java.lang.reflect.ProxyGenerator$ConstantPool","48 B (0%)","2 (0%)"
"java.util.concurrent.atomic.AtomicBoolean","48 B (0%)","3 (0%)"
"java.lang.ClassValue$Version","48 B (0%)","2 (0%)"
"java.security.AllPermissionCollection","48 B (0%)","2 (0%)"
"sun.util.resources.cldr.TimeZoneNames_en","48 B (0%)","1 (0%)"
"sun.util.resources.TimeZoneNames","48 B (0%)","1 (0%)"
"sun.management.ManagementFactoryHelper$1","48 B (0%)","2 (0%)"
"java.util.ResourceBundle$NoFallbackControl","48 B (0%)","3 (0%)"
"java.lang.reflect.Proxy$ProxyBuilder$1","48 B (0%)","2 (0%)"
"sun.security.provider.NativePRNG$1","48 B (0%)","3 (0%)"
"javax.management.NotificationBroadcasterSupport","48 B (0%)","2 (0%)"
"java.nio.file.OpenOption[]","48 B (0%)","3 (0%)"
"java.lang.StringCoding$Result","48 B (0%)","2 (0%)"
"java.lang.module.Resolver","48 B (0%)","1 (0%)"
"jdk.internal.module.ServicesCatalog","48 B (0%)","3 (0%)"
"java.lang.reflect.Proxy$ProxyBuilder","48 B (0%)","2 (0%)"
"sun.util.resources.cldr.TimeZoneNames","48 B (0%)","1 (0%)"
"java.io.ObjectOutputStream$ReplaceTable","48 B (0%)","2 (0%)"
"java.security.AccessController$1","48 B (0%)","3 (0%)"
"java.util.logging.Logger$LoggerBundle","48 B (0%)","2 (0%)"
"jdk.internal.logger.SurrogateLogger","48 B (0%)","2 (0%)"
"com.sun.jmx.mbeanserver.WeakIdentityHashMap","48 B (0%)","2 (0%)"
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$Mappings","48 B (0%)","1 (0%)"
"sun.nio.fs.UnixException","48 B (0%)","1 (0%)"
"com.sun.jmx.mbeanserver.ClassLoaderRepositorySupport$LoaderEntry","48 B (0%)","2 (0%)"
"java.lang.reflect.ReflectPermission","48 B (0%)","2 (0%)"
"java.util.concurrent.ForkJoinPool$WorkQueue[]","48 B (0%)","1 (0%)"
"jdk.internal.jimage.ImageHeader","48 B (0%)","1 (0%)"
"java.text.AttributedCharacterIterator$Attribute","48 B (0%)","3 (0%)"
"sun.util.resources.TimeZoneNames_en","48 B (0%)","1 (0%)"
"java.util.TimSort","48 B (0%)","1 (0%)"
"sun.security.jca.ProviderList$3","48 B (0%)","2 (0%)"
"jdk.management.jfr.FlightRecorderMXBeanImpl","48 B (0%)","1 (0%)"
"sun.nio.cs.ISO_8859_1$Encoder","48 B (0%)","1 (0%)"
"java.lang.management.MemoryPoolMXBean[]","48 B (0%)","1 (0%)"
"com.sun.jmx.mbeanserver.MBeanIntrospector$PerInterfaceMap","48 B (0%)","1 (0%)"
"sun.reflect.annotation.AnnotationParser$1","48 B (0%)","2 (0%)"
"java.util.concurrent.ThreadPoolExecutor$Worker","48 B (0%)","1 (0%)"
"java.util.concurrent.TimeUnit[]","48 B (0%)","1 (0%)"
"java.io.File$PathStatus","48 B (0%)","2 (0%)"
"java.net.Inet4Address","48 B (0%)","2 (0%)"
"jdk.internal.ref.CleanerImpl$WeakCleanableRef","48 B (0%)","1 (0%)"
"sun.util.resources.LocaleData","48 B (0%)","3 (0%)"
"java.util.Locale$Category[]","48 B (0%)","2 (0%)"
"java.util.concurrent.locks.ReentrantReadWriteLock","48 B (0%)","2 (0%)"
"jdk.internal.loader.URLClassPath$JarLoader$1","48 B (0%)","3 (0%)"
"java.net.URLClassLoader$2","48 B (0%)","2 (0%)"
"sun.reflect.annotation.AnnotationInvocationHandler","48 B (0%)","2 (0%)"
